Day of week;Day of month;Month ;Year;Hour;Appliances;lights;RH_1;RH_2;RH_3;RH_4;RH_5;RH_6;RH_7;RH_8;RH_9;RH_out;T1;T2;T3;T4;T5;T6;T7;T8;T9;T_out;Press_mm_hg;Windspeed;Visibility;Tdewpoint;
Δευτέρα;11;January;2016;19:10;250;40;52,73%;45,10%;45,49%;47,22%;55,16%;88,22%;46,16%;48,67%;45,33%;90,50%;20,26;19,73;19,89;19,00;17,10;6,07;17,96;18,03;16,89;6,00;734,6;6,00;40,00;4,52;
Δευτέρα;11;January;2016;19:20;100;10;55,89%;45,83%;47,53%;48,70%;55,50%;88,16%;45,53%;49,19%;45,34%;90,00%;20,43;19,86;20,03;19,00;17,10;5,90;17,96;18,10;16,89;6,00;734,7;6,00;40,00;4,43;
Δευτέρα;11;January;2016;19:30;100;10;53,89%;46,76%;48,47%;48,49%;56,04%;88,37%;44,93%;49,20%;45,33%;89,50%;20,57;20,03;20,10;19,00;17,15;5,80;17,89;18,15;16,89;6,00;734,8;6,00;40,00;4,35;
Δευτέρα;11;January;2016;19:40;90;10;52,66%;47,22%;48,53%;48,16%;56,49%;88,16%;44,27%;49,63%;45,29%;89,00%;20,73;20,17;20,20;18,93;17,17;5,73;17,76;18,23;16,89;6,00;734,9;6,00;40,00;4,27;
Δευτέρα;11;January;2016;19:50;70;30;53,66%;47,06%;48,45%;47,96%;56,93%;87,30%;43,73%;50,03%;45,29%;88,50%;20,86;20,20;20,20;18,89;17,20;5,53;17,70;18,36;16,89;6,00;735,0;6,00;40,00;4,18;
Δευτέρα;11;January;2016;20:00;80;30;51,19%;46,33%;48,19%;48,63%;57,06%;86,76%;43,16%;50,20%;45,20%;88,00%;20,89;20,20;20,20;18,96;17,20;5,33;17,67;18,53;16,89;6,00;735,2;6,00;40,00;4,10;
Δευτέρα;11;January;2016;20:10;140;40;49,80%;46,03%;47,63%;49,50%;70,73%;87,46%;42,69%;50,26%;45,20%;87,83%;20,89;20,20;20,17;19,03;17,59;5,33;17,60;18,67;16,89;6,00;735,2;6,00;40,00;4,07;
Δευτέρα;11;January;2016;20:20;120;20;48,43%;45,72%;47,30%;49,95%;79,00%;87,53%;42,33%;50,23%;45,13%;87,67%;20,89;20,20;20,17;19,18;18,07;5,47;17,60;18,73;16,89;6,00;735,2;6,00;40,00;4,03;
Δευτέρα;11;January;2016;20:30;190;40;47,63%;45,53%;47,03%;49,70%;79,73%;86,96%;42,07%;50,29%;45,13%;87,50%;20,96;20,26;20,20;19,26;17,67;5,50;17,53;18,86;16,89;6,00;735,2;6,00;40,00;4,00;
Δευτέρα;11;January;2016;20:40;110;40;47,06%;45,22%;46,83%;49,17%;79,26%;86,56%;43,63%;50,16%;45,06%;87,33%;21,03;20,29;20,26;19,32;17,60;5,56;17,63;18,89;16,89;6,00;735,3;6,00;40,00;3,97;
Δευτέρα;11;January;2016;20:50;110;40;46,60%;44,96%;46,63%;48,43%;78,39%;86,33%;43,63%;50,03%;45,00%;87,17%;21,10;20,36;20,29;19,39;17,57;5,62;17,76;18,96;16,89;6,00;735,3;6,00;40,00;3,93;
Δευτέρα;11;January;2016;21:00;110;30;46,06%;44,76%;46,43%;48,19%;82,46%;86,06%;43,46%;49,76%;44,97%;87,00%;21,13;20,43;20,29;19,39;17,76;5,76;17,86;19,00;16,89;6,00;735,3;6,00;40,00;3,90;
Δευτέρα;11;January;2016;21:10;110;20;45,80%;44,76%;46,22%;47,80%;82,59%;85,59%;43,40%;49,70%;44,90%;87,17%;21,20;20,50;20,39;19,39;18,36;5,66;17,79;19,07;16,89;5,93;735,4;6,00;40,00;3,87;
Δευτέρα;11;January;2016;21:20;100;30;45,90%;45,09%;46,09%;47,56%;70,99%;85,73%;43,79%;49,63%;44,79%;87,33%;21,29;20,53;20,39;19,39;18,36;5,53;17,89;19,13;16,89;5,87;735,5;6,00;40,00;3,83;
Δευτέρα;11;January;2016;21:30;100;20;45,83%;45,16%;46,09%;47,50%;62,43%;86,33%;43,79%;49,43%;44,79%;87,50%;21,36;20,67;20,39;19,39;18,60;5,43;17,89;19,20;16,89;5,80;735,6;6,00;40,00;3,80;
Δευτέρα;11;January;2016;21:40;100;20;45,69%;45,06%;46,09%;47,99%;59,03%;86,60%;43,70%;49,40%;44,70%;87,67%;21,39;20,70;20,39;19,43;18,67;5,50;17,89;19,23;16,89;5,73;735,6;6,00;40,00;3,77;
Δευτέρα;11;January;2016;21:50;100;20;45,33%;44,93%;46,06%;48,47%;56,73%;86,47%;43,57%;49,33%;44,70%;87,83%;21,50;20,70;20,39;19,57;18,82;5,59;17,86;19,29;16,89;5,67;735,7;6,00;40,00;3,73;
Δευτέρα;11;January;2016;22:00;110;20;45,13%;44,63%;46,00%;48,09%;55,33%;86,33%;43,40%;49,16%;44,59%;88,00%;21,50;20,79;20,39;19,67;18,96;5,59;17,79;19,29;16,82;5,60;735,7;6,00;40,00;3,70;
Δευτέρα;11;January;2016;22:10;400;20;44,97%;44,36%;45,93%;47,50%;54,09%;86,23%;43,22%;49,03%;44,53%;87,83%;21,53;20,79;20,43;19,60;19,03;5,66;17,79;19,36;16,82;5,65;735,8;6,17;40,00;3,72;
Δευτέρα;11;January;2016;22:20;400;20;44,77%;44,22%;45,93%;47,63%;53,37%;85,77%;43,03%;48,86%;44,59%;87,67%;21,60;20,89;20,50;19,70;19,10;5,83;17,79;19,39;16,89;5,70;735,9;6,33;40,00;3,73;
Δευτέρα;11;January;2016;22:30;390;30;44,56%;43,96%;45,79%;47,57%;52,47%;85,03%;42,76%;48,86%;44,52%;87,50%;21,60;20,96;20,50;20,10;19,16;5,90;17,79;19,39;16,89;5,75;736,0;6,50;40,00;3,75;
Δευτέρα;11;January;2016;22:40;240;20;44,36%;43,83%;45,73%;47,22%;51,99%;84,13%;42,63%;48,95%;44,43%;87,33%;21,60;21,00;20,50;20,60;19,20;6,00;17,79;19,34;16,82;5,80;736,1;6,67;40,00;3,77;
Δευτέρα;11;January;2016;22:50;60;20;44,20%;43,70%;45,59%;47,03%;51,52%;84,06%;42,63%;49,23%;44,50%;87,17%;21,60;21,00;20,50;21,00;19,22;6,00;17,70;19,29;16,89;5,85;736,2;6,83;40,00;3,78;
Δευτέρα;11;January;2016;23:00;60;20;44,20%;43,59%;45,55%;46,53%;51,23%;84,79%;42,76%;49,43%;44,50%;87,00%;21,60;21,00;20,42;21,17;19,29;5,97;17,70;19,36;16,89;5,90;736,2;7,00;40,00;3,80;
Δευτέρα;11;January;2016;23:10;60;20;44,20%;43,59%;45,66%;46,40%;51,06%;85,60%;43,03%;49,89%;45,07%;87,83%;21,60;21,00;20,39;21,03;19,29;5,90;17,70;19,39;16,89;5,80;736,3;6,83;37,00;3,85;
Δευτέρα;11;January;2016;23:20;50;10;44,20%;43,70%;45,73%;46,43%;50,93%;86,26%;43,16%;50,16%;45,26%;88,67%;21,60;21,00;20,29;20,96;19,29;5,76;17,70;19,39;16,89;5,70;736,5;6,67;34,00;3,90;
Δευτέρα;11;January;2016;23:30;70;20;44,23%;43,76%;45,79%;46,57%;50,86%;86,59%;43,40%;50,46%;45,43%;89,50%;21,50;20,93;20,29;20,86;19,29;5,62;17,70;19,39;16,89;5,60;736,6;6,50;31,00;3,95;
Δευτέρα;11;January;2016;23:40;60;20;44,36%;43,84%;45,79%;46,59%;50,79%;87,50%;43,47%;50,72%;45,56%;90,33%;21,50;20,89;20,29;20,73;19,29;5,59;17,70;19,39;16,89;5,50;736,7;6,33;28,00;4,00;
Δευτέρα;11;January;2016;23:50;40;20;44,43%;43,79%;45,66%;46,79%;50,66%;87,90%;43,63%;50,96%;45,63%;91,17%;21,39;20,79;20,23;20,70;19,20;5,59;17,70;19,39;16,89;5,40;736,7;6,17;25,00;4,05;
Τρίτη;12;January;2016;0:00;40;10;44,56%;43,86%;45,66%;46,79%;50,53%;88,63%;43,76%;51,16%;45,70%;92,00%;21,39;20,79;20,20;20,63;19,20;5,59;17,70;19,39;16,89;5,30;736,8;6,00;22,00;4,10;
Τρίτη;12;January;2016;0:10;30;20;44,83%;44,00%;45,59%;46,93%;50,50%;89,03%;43,93%;51,50%;45,79%;92,00%;21,29;20,70;20,20;20,57;19,20;5,53;17,70;19,46;16,89;5,27;737,0;6,00;25,00;4,07;
Τρίτη;12;January;2016;0:20;40;20;44,97%;44,00%;45,50%;47,13%;50,43%;89,40%;44,33%;51,56%;45,86%;92,00%;21,29;20,63;20,17;20,50;19,20;5,53;17,76;19,39;16,89;5,23;737,1;6,00;28,00;4,03;
Τρίτη;12;January;2016;0:30;50;20;45,09%;44,03%;45,50%;47,23%;50,36%;89,19%;44,96%;51,86%;45,90%;92,00%;21,26;20,60;20,10;20,50;19,17;5,53;17,79;19,39;16,89;5,20;737,2;6,00;31,00;4,00;
Τρίτη;12;January;2016;0:40;310;10;45,09%;44,09%;45,50%;47,23%;50,29%;89,40%;45,22%;52,00%;45,97%;92,00%;21,20;20,60;20,10;20,43;19,10;5,40;17,79;19,39;16,89;5,17;737,2;6,00;34,00;3,97;
Τρίτη;12;January;2016;0:50;380;20;45,23%;44,13%;45,50%;47,36%;50,26%;88,99%;45,33%;52,09%;46,03%;92,00%;21,17;20,50;20,10;20,46;19,07;5,20;17,79;19,36;16,89;5,13;737,3;6,00;37,00;3,93;
Τρίτη;12;January;2016;1:00;380;20;45,37%;44,20%;45,53%;47,56%;50,13%;89,06%;45,42%;52,16%;46,09%;92,00%;21,07;20,50;20,10;20,79;19,00;4,87;17,79;19,29;16,89;5,10;737,5;6,00;40,00;3,90;
Τρίτη;12;January;2016;1:10;370;20;45,40%;44,20%;45,59%;47,47%;50,09%;91,16%;45,56%;52,50%;46,20%;92,00%;21,00;20,39;20,10;21,26;19,00;4,93;17,79;19,29;16,89;5,12;737,6;5,83;40,00;3,92;
Τρίτη;12;January;2016;1:20;120;10;45,59%;44,26%;45,59%;47,40%;50,03%;91,43%;45,73%;52,90%;46,20%;92,00%;21,00;20,39;20,10;21,60;19,00;5,00;17,79;19,23;16,89;5,13;737,7;5,67;40,00;3,93;
Τρίτη;12;January;2016;1:30;50;0;45,59%;44,29%;45,53%;46,97%;50,03%;91,26%;45,86%;53,50%;46,29%;92,00%;20,93;20,29;20,17;21,89;19,00;4,87;17,79;19,29;16,89;5,15;737,8;5,50;40,00;3,95;
Τρίτη;12;January;2016;1:40;40;0;45,67%;44,29%;45,50%;46,23%;50,09%;91,59%;45,83%;53,96%;46,43%;92,00%;20,89;20,23;20,13;21,82;18,93;4,73;17,79;19,29;16,89;5,17;738,0;5,33;40,00;3,97;
Τρίτη;12;January;2016;1:50;50;0;46,06%;44,40%;45,50%;46,06%;50,09%;91,76%;45,97%;54,46%;46,63%;92,00%;20,89;20,20;20,20;21,67;18,89;4,47;17,79;19,29;16,89;5,18;738,1;5,17;40,00;3,98;
Τρίτη;12;January;2016;2:00;40;0;46,20%;44,47%;45,50%;45,93%;50,17%;91,76%;46,00%;54,72%;46,83%;92,00%;20,79;20,20;20,17;21,53;18,89;4,33;17,79;19,22;16,89;5,20;738,2;5,00;40,00;4,00;
Τρίτη;12;January;2016;2:10;50;0;46,20%;44,53%;45,42%;45,90%;50,20%;91,83%;46,00%;54,97%;46,97%;92,00%;20,79;20,10;20,13;21,36;18,89;4,16;17,79;19,20;16,96;5,13;738,3;4,83;40,00;3,93;
Τρίτη;12;January;2016;2:20;50;0;46,26%;44,59%;45,40%;45,90%;50,09%;92,57%;46,00%;54,97%;47,23%;92,00%;20,70;20,10;20,13;21,23;18,79;4,16;17,89;19,20;17,00;5,07;738,5;4,67;40,00;3,87;
Τρίτη;12;January;2016;2:30;50;0;46,20%;44,43%;45,50%;45,90%;50,09%;93,53%;46,06%;54,90%;47,36%;92,00%;20,70;20,00;20,20;21,07;18,79;4,33;17,89;19,20;17,00;5,00;738,6;4,50;40,00;3,80;
Τρίτη;12;January;2016;2:40;40;0;46,20%;44,50%;45,50%;45,90%;50,09%;93,32%;46,09%;54,86%;47,53%;92,00%;20,60;20,00;20,20;20,93;18,79;4,33;17,89;19,20;17,00;4,93;738,7;4,33;40,00;3,73;
Τρίτη;12;January;2016;2:50;40;0;46,13%;44,50%;45,40%;45,90%;50,09%;93,13%;45,96%;54,79%;47,66%;92,00%;20,60;20,00;20,20;20,75;18,73;4,19;17,82;19,13;17,00;4,87;738,7;4,17;40,00;3,67;
Τρίτη;12;January;2016;3:00;30;0;46,07%;44,59%;45,40%;46,00%;50,09%;92,87%;45,97%;54,90%;47,83%;92,00%;20,57;19,89;20,20;20,67;18,70;4,06;17,86;19,20;17,00;4,80;738,8;4,00;40,00;3,60;
Τρίτη;12;January;2016;3:10;20;0;46,20%;44,53%;45,47%;46,00%;50,09%;92,97%;45,97%;54,97%;47,90%;92,17%;20,50;19,82;20,29;20,53;18,70;3,86;17,86;19,20;17,00;4,82;739,0;4,33;40,00;3,63;
Τρίτη;12;January;2016;3:20;20;0;46,29%;44,53%;45,40%;46,03%;50,09%;93,09%;46,20%;55,09%;48,03%;92,33%;20,50;19,79;20,29;20,39;18,70;3,79;17,89;19,20;17,00;4,83;739,1;4,67;40,00;3,67;
Τρίτη;12;January;2016;3:30;40;0;46,23%;44,53%;45,40%;46,16%;50,03%;94,05%;46,20%;55,03%;48,09%;92,50%;20,43;19,79;20,20;20,39;18,63;3,90;17,89;19,20;17,00;4,85;739,2;5,00;40,00;3,70;
Τρίτη;12;January;2016;3:40;50;0;46,29%;44,59%;45,40%;46,20%;50,00%;94,66%;46,20%;54,86%;48,29%;92,67%;20,39;19,76;20,20;20,29;18,60;4,19;17,89;19,20;17,07;4,87;739,3;5,33;40,00;3,73;
Τρίτη;12;January;2016;3:50;50;0;46,36%;44,59%;45,50%;46,26%;50,00%;94,80%;46,13%;54,73%;48,36%;92,83%;20,39;19,70;20,20;20,23;18,60;4,26;17,89;19,20;17,07;4,88;739,4;5,67;40,00;3,77;
Τρίτη;12;January;2016;4:00;40;0;46,50%;44,70%;45,50%;46,29%;50,00%;95,03%;46,09%;54,56%;48,46%;93,00%;20,29;19,70;20,26;20,10;18,60;4,46;17,89;19,10;17,03;4,90;739,6;6,00;40,00;3,80;
Τρίτη;12;January;2016;4:10;50;0;46,55%;44,63%;45,50%;46,29%;50,00%;95,03%;45,92%;54,50%;48,59%;92,67%;20,29;19,63;20,29;20,03;18,53;4,59;17,89;19,10;17,03;4,92;739,6;5,83;40,00;3,77;
Τρίτη;12;January;2016;4:20;40;0;46,50%;44,59%;45,50%;46,40%;50,00%;94,87%;45,73%;54,50%;48,77%;92,33%;20,23;19,60;20,29;20,00;18,50;4,73;17,89;19,10;17,03;4,93;739,7;5,67;40,00;3,73;
Τρίτη;12;January;2016;4:30;40;0;46,43%;44,59%;45,50%;46,47%;50,00%;94,73%;45,70%;54,50%;48,90%;92,00%;20,20;19,60;20,29;19,93;18,50;4,80;17,89;19,10;17,03;4,95;739,7;5,50;40,00;3,70;
Τρίτη;12;January;2016;4:40;40;0;46,56%;44,70%;45,56%;46,47%;50,00%;94,49%;45,70%;54,40%;49,05%;91,67%;20,20;19,57;20,29;19,86;18,50;4,80;17,89;19,10;17,10;4,97;739,7;5,33;40,00;3,67;
Τρίτη;12;January;2016;4:50;60;0;46,36%;44,70%;45,59%;46,47%;50,00%;94,23%;45,59%;54,40%;49,20%;91,33%;20,17;19,50;20,29;19,79;18,50;4,80;17,89;19,10;17,10;4,98;739,8;5,17;40,00;3,63;
Τρίτη;12;January;2016;5:00;50;0;46,36%;44,79%;45,59%;46,59%;50,00%;94,13%;45,66%;54,29%;49,26%;91,00%;20,10;19,50;20,29;19,76;18,50;4,80;17,89;19,10;17,10;5,00;739,8;5,00;40,00;3,60;
Τρίτη;12;January;2016;5:10;50;0;46,50%;44,73%;45,59%;46,66%;49,98%;94,00%;45,59%;54,23%;49,29%;91,67%;20,10;19,43;20,29;19,70;18,47;4,80;17,89;19,10;17,10;4,98;739,9;4,83;40,00;3,68;
Τρίτη;12;January;2016;5:20;40;0;46,36%;44,73%;45,59%;46,66%;49,90%;93,56%;45,59%;54,05%;49,36%;92,33%;20,03;19,39;20,29;19,67;18,39;4,76;17,89;19,05;17,10;4,97;740,0;4,67;40,00;3,77;
Τρίτη;12;January;2016;5:30;40;0;46,29%;44,79%;45,59%;46,59%;49,90%;94,02%;45,63%;54,00%;49,43%;93,00%;20,00;19,39;20,36;19,60;18,39;4,76;17,89;19,00;17,10;4,95;740,1;4,50;40,00;3,85;
Τρίτη;12;January;2016;5:40;40;0;46,29%;44,79%;45,59%;46,63%;49,90%;94,73%;45,63%;54,00%;49,56%;93,67%;20,00;19,39;20,39;19,60;18,39;4,83;17,89;19,07;17,10;4,93;740,1;4,33;40,00;3,93;
Τρίτη;12;January;2016;5:50;40;0;46,23%;44,79%;45,59%;46,70%;49,90%;95,00%;45,59%;53,90%;49,63%;94,33%;20,00;19,39;20,32;19,60;18,39;4,83;17,89;19,10;17,10;4,92;740,2;4,17;40,00;4,02;
Τρίτη;12;January;2016;6:00;50;0;46,23%;44,90%;45,59%;46,70%;49,90%;95,53%;45,72%;53,83%;49,70%;95,00%;19,93;19,29;20,32;19,50;18,39;4,90;17,89;19,03;17,10;4,90;740,2;4,00;40,00;4,10;
Τρίτη;12;January;2016;6:10;70;10;46,23%;44,92%;45,59%;46,70%;49,93%;95,82%;45,90%;53,79%;49,83%;94,67%;19,89;19,29;20,32;19,50;18,36;5,00;17,89;19,00;17,10;4,93;740,4;4,17;38,17;4,10;
Τρίτη;12;January;2016;6:20;40;0;46,43%;45,00%;45,59%;46,70%;50,00%;96,03%;45,97%;53,79%;49,97%;94,33%;19,89;19,29;20,29;19,43;18,29;5,09;17,89;19,00;17,10;4,97;740,5;4,33;36,33;4,10;
Τρίτη;12;January;2016;6:30;30;0;46,63%;45,13%;45,59%;46,70%;50,13%;95,90%;45,90%;53,76%;50,00%;94,00%;19,89;19,29;20,29;19,39;18,29;5,00;17,89;19,00;17,13;5,00;740,7;4,50;34,50;4,10;
Τρίτη;12;January;2016;6:40;20;10;46,70%;45,20%;45,50%;46,70%;50,20%;95,97%;45,83%;53,70%;50,00%;93,67%;19,89;19,22;20,29;19,39;18,29;5,00;17,89;19,00;17,20;5,03;740,8;4,67;32,67;4,10;
Τρίτη;12;January;2016;6:50;30;0;46,86%;45,24%;45,43%;46,79%;50,23%;95,93%;45,72%;53,88%;50,00%;93,33%;19,89;19,20;20,29;19,29;18,29;4,97;17,89;19,00;17,20;5,07;740,9;4,83;30,83;4,10;
Τρίτη;12;January;2016;7:00;40;10;46,86%;45,36%;45,29%;46,79%;50,29%;95,93%;45,79%;54,00%;50,00%;93,00%;19,82;19,20;20,20;19,29;18,29;4,90;17,89;19,00;17,20;5,10;741,1;5,00;29,00;4,10;
Τρίτη;12;January;2016;7:10;50;10;46,93%;45,40%;45,29%;46,79%;50,43%;96,09%;45,86%;54,06%;50,09%;92,67%;19,86;19,20;20,20;19,29;18,29;4,93;17,89;19,00;17,20;5,10;741,2;5,00;30,83;4,05;
Τρίτη;12;January;2016;7:20;60;20;46,79%;45,33%;45,29%;46,60%;50,83%;96,09%;45,52%;53,80%;49,96%;92,33%;19,79;19,20;20,17;19,29;18,23;4,93;17,89;18,93;17,20;5,10;741,3;5,00;32,67;4,00;
Τρίτη;12;January;2016;7:30;60;20;46,90%;45,20%;45,29%;46,30%;51,27%;96,09%;45,14%;53,15%;49,72%;92,00%;19,79;19,18;20,10;19,26;18,20;5,00;17,89;18,97;17,20;5,10;741,4;5,00;34,50;3,95;
Τρίτη;12;January;2016;7:40;70;20;47,43%;45,03%;45,29%;46,09%;51,53%;96,09%;44,83%;52,80%;49,46%;91,67%;19,79;19,10;20,10;19,20;18,20;5,00;17,86;18,89;17,20;5,10;741,5;5,00;36,33;3,90;
Τρίτη;12;January;2016;7:50;60;30;48,37%;45,00%;45,29%;45,97%;51,83%;96,09%;44,57%;52,36%;48,99%;91,33%;19,79;19,10;20,10;19,17;18,10;5,00;17,79;18,86;17,15;5,10;741,6;5,00;38,17;3,85;
Τρίτη;12;January;2016;8:00;140;20;48,67%;45,00%;45,29%;45,90%;51,97%;96,16%;44,33%;51,96%;48,63%;91,00%;19,79;19,10;20,20;19,17;18,10;5,06;17,79;18,79;17,10;5,10;741,7;5,00;40,00;3,80;
Τρίτη;12;January;2016;8:10;110;30;48,53%;45,06%;45,29%;45,76%;52,13%;96,03%;44,66%;51,63%;48,36%;91,00%;19,79;19,07;20,13;19,20;18,10;5,09;17,86;18,79;17,10;5,05;741,8;5,00;40,00;3,73;
Τρίτη;12;January;2016;8:20;90;10;50,00%;45,04%;45,24%;45,63%;52,20%;95,76%;45,06%;51,40%;48,03%;91,00%;19,89;19,02;20,15;19,20;18,03;5,09;18,00;18,79;17,10;5,00;741,9;5,00;40,00;3,67;
Τρίτη;12;January;2016;8:30;60;0;48,73%;45,20%;45,20%;45,53%;52,40%;95,46%;44,46%;51,05%;47,77%;91,00%;19,89;19,10;20,10;19,10;18,05;5,00;18,00;18,70;17,10;4,95;742,0;5,00;40,00;3,60;
Τρίτη;12;January;2016;8:40;60;0;48,03%;45,13%;45,20%;45,40%;52,50%;94,79%;43,96%;50,76%;47,47%;91,00%;19,89;19,03;20,10;19,10;18,00;4,79;17,89;18,70;17,10;4,90;742,1;5,00;40,00;3,53;
Τρίτη;12;January;2016;8:50;60;0;47,63%;45,09%;45,20%;45,36%;52,56%;94,19%;43,57%;50,65%;47,27%;91,00%;19,89;19,00;20,10;19,10;18,00;4,47;17,89;18,70;17,03;4,85;742,2;5,00;40,00;3,47;
Τρίτη;12;January;2016;9:00;50;0;47,06%;45,03%;45,20%;45,23%;52,79%;94,45%;43,10%;50,42%;46,93%;91,00%;19,86;19,00;20,10;19,10;18,00;4,30;17,86;18,70;17,00;4,80;742,2;5,00;40,00;3,40;
Τρίτη;12;January;2016;9:10;60;0;46,66%;44,97%;45,16%;45,09%;52,79%;94,19%;42,77%;50,16%;46,79%;91,00%;19,79;19,00;20,10;19,10;17,93;4,06;17,79;18,63;17,07;4,88;742,3;5,00;38,17;3,48;
Τρίτη;12;January;2016;9:20;50;0;46,33%;44,83%;45,09%;44,97%;52,76%;94,67%;42,43%;50,03%;46,59%;91,00%;19,79;19,00;20,10;19,10;17,89;4,03;17,79;18,67;17,03;4,97;742,4;5,00;36,33;3,57;
Τρίτη;12;January;2016;9:30;30;0;46,07%;44,65%;45,16%;44,77%;52,03%;95,00%;42,23%;49,83%;46,39%;91,00%;19,79;19,00;20,10;19,03;17,89;4,09;17,79;18,60;17,03;5,05;742,5;5,00;34,50;3,65;
Τρίτη;12;January;2016;9:40;40;0;45,86%;44,56%;44,96%;44,66%;50,90%;95,40%;41,97%;49,66%;46,16%;91,00%;19,76;18,96;20,03;19,00;18,00;4,12;17,70;18,60;17,00;5,13;742,6;5,00;32,67;3,73;
Τρίτη;12;January;2016;9:50;30;0;45,79%;44,43%;44,90%;44,59%;50,43%;95,80%;41,83%;49,59%;46,03%;91,00%;19,70;18,96;20,00;19,07;18,00;4,26;17,70;18,60;17,00;5,22;742,7;5,00;30,83;3,82;
Τρίτη;12;January;2016;10:00;260;0;45,66%;44,29%;44,90%;44,69%;49,93%;96,26%;41,66%;49,47%;45,86%;91,00%;19,70;18,89;20,00;19,10;18,00;4,46;17,70;18,60;17,00;5,30;742,7;5,00;29,00;3,90;
Τρίτη;12;January;2016;10:10;500;0;45,59%;44,23%;44,90%;45,03%;49,66%;96,47%;41,59%;49,40%;45,73%;90,17%;19,70;18,89;19,89;19,17;18,00;4,73;17,70;18,53;17,00;5,48;742,8;5,00;30,83;3,95;
Τρίτη;12;January;2016;10:20;450;0;47,79%;44,23%;44,90%;45,36%;49,50%;96,56%;41,50%;49,26%;45,66%;89,33%;19,73;18,93;19,89;19,36;18,00;5,03;17,70;18,50;17,00;5,67;742,9;5,00;32,67;4,00;
Τρίτη;12;January;2016;10:30;50;10;48,79%;44,36%;44,86%;45,56%;49,56%;96,50%;41,40%;49,20%;45,46%;88,50%;19,79;19,00;19,89;19,69;18,00;5,16;17,70;18,50;17,00;5,85;743,0;5,00;34,50;4,05;
